"Category","Fields of Research"
"09 Engineering",91
"08 Information and Computing Sciences",34
"11 Medical and Health Sciences",32
"01 Mathematical Sciences",30
"04 Earth Sciences",28
"06 Biological Sciences",18
"12 Built Environment and Design",13
"05 Environmental Sciences",12
"02 Physical Sciences",11
"14 Economics",8
"03 Chemical Sciences",7
"17 Psychology and Cognitive Sciences",4
"10 Technology",3
"15 Commerce, Management, Tourism and Services",3
"07 Agricultural and Veterinary Sciences",1
"16 Studies in Human Society",1
"21 History and Archaeology",1
