Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
119,"JH Kwakkel","The Exploratory Modeling Workbench: An open source toolkit for exploratory modeling, scenario discovery, and (multi-objective) robust decision making",2017,"Environmental Modelling & Software","Elsevier","https://www.sciencedirect.com/science/article/pii/S1364815217301251","https://scholar.google.com/scholar?cites=10507804028821905855&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-06-03 16:24:07","HTML","","","",,,,,119,29.75,119,1,4,"There is a growing interest in model-based decision support under deep uncertainty, reflected in a variety of approaches being put forward in the literature. A key idea shared among these is the use of models for exploratory rather than predictive purposes …","https://www.sciencedirect.com/science/article/pii/S1364815217301251","https://scholar.google.com/scholar?q=related:vyFZaxc405EJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
69,"CJ Smith, PM Forster, M Allen, J Fuglestvedt…","Current fossil fuel infrastructure does not yet commit us to 1.5 C warming",2019,"Nature …","nature.com","https://www.nature.com/articles/s41467-018-07999-w?source=post_page---------------------------","https://scholar.google.com/scholar?cites=10205881953877806745&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-06-03 16:24:07","HTML","","","",,,,,69,34.50,14,5,2,"Committed warming describes how much future warming can be expected from historical emissions due to inertia in the climate system. It is usually defined in terms of the level of warming above the present for an abrupt halt of emissions. Owing to socioeconomic …","https://www.nature.com/articles/s41467-018-07999-w?source=post_page---------------------------","https://scholar.google.com/scholar?q=related:mc50YJCToo0J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
66,"RF Reis, B de Melo Quintela…","Characterization of the COVID-19 pandemic and the impact of uncertainties, mitigation strategies, and underreporting of cases in South Korea, Italy, and Brazil",2020,"Chaos, Solitons & …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0960077920302885","https://scholar.google.com/scholar?cites=10910077974624486179&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-06-03 16:24:07","HTML","","","",,,,,66,66.00,22,3,1,"Abstract By April 7th, 2020, the Coronavirus disease 2019 (COVID-19) has infected one and a half million people worldwide, accounting for over 80 thousand of deaths in 209 countries and territories around the world. The new and fast dynamics of the pandemic are …","https://www.sciencedirect.com/science/article/pii/S0960077920302885","https://scholar.google.com/scholar?q=related:I0NOJR1iaJcJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
69,"EE Koks, J Rozenberg, C Zorn, M Tariverdi…","A global multi-hazard risk analysis of road and railway infrastructure assets",2019,"Nature …","nature.com","https://www.nature.com/articles/s41467-019-10442-3","https://scholar.google.com/scholar?cites=6206618756081729836&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-06-03 16:24:07","HTML","","","",,,,,69,34.50,14,5,2,"Transport infrastructure is exposed to natural hazards all around the world. Here we present the first global estimates of multi-hazard exposure and risk to road and rail infrastructure. Results reveal that~ 27% of all global road and railway assets are exposed to at least one …","https://www.nature.com/articles/s41467-019-10442-3","https://scholar.google.com/scholar?q=related:LEGH5N9WIlYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
67,"H Nori, S Jenkins, P Koch, R Caruana","Interpretml: A unified framework for machine learning interpretability",2019,"arXiv preprint arXiv:1909.09223","arxiv.org","https://arxiv.org/abs/1909.09223","https://scholar.google.com/scholar?cites=4053964471673528539&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-06-03 16:24:07","","","","",,,,,67,33.50,17,4,2,"InterpretML is an open-source Python package which exposes machine learning interpretability algorithms to practitioners and researchers. InterpretML exposes two types of interpretability-glassbox models, which are machine learning models designed for …","https://arxiv.org/pdf/1909.09223","https://scholar.google.com/scholar?q=related:26AnSjWTQjgJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
41,"S Tennøe, G Halnes, GT Einevoll","Uncertainpy: a python toolbox for uncertainty quantification and sensitivity analysis in computational neuroscience",2018,"Frontiers in neuroinformatics","frontiersin.org","https://www.frontiersin.org/articles/10.3389/fninf.2018.00049/full","https://scholar.google.com/scholar?cites=8232120937497828497&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-06-03 16:24:07","HTML","","","",,,,,41,13.67,14,3,3,"Computational models in neuroscience typically contain many parameters that are poorly constrained by experimental data. Uncertainty quantification and sensitivity analysis provide rigorous procedures to quantify how the model output depends on this parameter …","https://www.frontiersin.org/articles/10.3389/fninf.2018.00049/full","https://scholar.google.com/scholar?q=related:kRydg2BePnIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
34,"M Jaxa-Rozen, JH Kwakkel","Pynetlogo: Linking netlogo with python",2018,"Journal of Artificial Societies …","archive-ouverte.unige.ch","https://archive-ouverte.unige.ch/unige:128841","https://scholar.google.com/scholar?cites=12866651611120652462&as_sdt=2005&sciodt=0,5&hl=en",7,"2021-06-03 16:24:07","","","","",,,,,34,11.33,17,2,3,"Methods for testing and analyzing agent-based models have drawn increasing attention in the literature, in the context of efforts to establish standard frameworks for the development and documentation of models. This process can benefit from the use of established software …","https://archive-ouverte.unige.ch/unige:128841/ATTACHMENT01","https://scholar.google.com/scholar?q=related:rtCNSXiHj7IJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
35,"MD Murbach, DT Schwartz","Analysis of Li-ion battery electrochemical impedance spectroscopy data: An easy-to-implement approach for physics-based parameter estimation using an open …",2018,"Journal of The Electrochemical …","iopscience.iop.org","https://iopscience.iop.org/article/10.1149/2.1021802jes/meta","https://scholar.google.com/scholar?cites=6196798044620536587&as_sdt=2005&sciodt=0,5&hl=en",8,"2021-06-03 16:24:07","","","","",,,,,35,11.67,18,2,3,"The quantitative analysis of electrochemical impedance spectroscopy (EIS) data is important for both characterization and prognostic applications in many electrochemical systems. Here we describe an open-source platform, the ImpedanceAnalyzer, for easy-to-use physics …","https://iopscience.iop.org/article/10.1149/2.1021802jes/pdf","https://scholar.google.com/scholar?q=related:CztxUv1y_1UJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
27,"Z Li, N Omidvar, WS Chin, E Robb…","Machine-learning energy gaps of porphyrins with molecular graph representations",2018,"The Journal of …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.jpca.8b02842","https://scholar.google.com/scholar?cites=8283812763554596065&as_sdt=2005&sciodt=0,5&hl=en",9,"2021-06-03 16:24:07","","10.1021/acs.jpca.8b02842","","",,,,,27,9.00,5,5,3,"Molecular functionalization of porphyrins opens countless new opportunities in tailoring their physicochemical properties for light-harvesting applications. However, the immense materials space spanned by a vast number of substituent ligands and chelating metal ions …","https://pubs.acs.org/doi/pdfplus/10.1021/acs.jpca.8b02842","https://scholar.google.com/scholar?q=related:4cSEpdED9nIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
29,"S Pye, FGN Li, A Petersen, O Broad…","Assessing qualitative and quantitative dimensions of uncertainty in energy modelling for policy support in the United Kingdom",2018,"Energy research & …","Elsevier","https://www.sciencedirect.com/science/article/pii/S2214629618302664","https://scholar.google.com/scholar?cites=15097593265792102775&as_sdt=2005&sciodt=0,5&hl=en",10,"2021-06-03 16:24:07","HTML","","","",,,,,29,9.67,6,5,3,"Strategic planning for the low carbon energy transition is characterised by a high degree of uncertainty across many knowledge domains and by the high stakes involved in making decisions. Energy models can be used to assist decision makers in making robust choices …","https://www.sciencedirect.com/science/article/pii/S2214629618302664","https://scholar.google.com/scholar?q=related:dzHeshVthdEJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
