Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
148,"H Nori, S Jenkins, P Koch, R Caruana","Interpretml: A unified framework for machine learning interpretability",2019,"arXiv preprint arXiv:1909.09223","arxiv.org","https://arxiv.org/abs/1909.09223","https://scholar.google.com/scholar?cites=4053964471673528539&as_sdt=2005&sciodt=0,5&hl=en",1,"2022-04-02 11:27:02","","","","",,,,,148,49.33,37,4,3,"InterpretML is an open-source Python package which exposes machine learning interpretability algorithms to practitioners and researchers. InterpretML exposes two types of …","https://arxiv.org/pdf/1909.09223?ref=https://githubhelp.com","https://scholar.google.com/scholar?q=related:26AnSjWTQjgJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
136,"JH Kwakkel","The Exploratory Modeling Workbench: An open source toolkit for exploratory modeling, scenario discovery, and (multi-objective) robust decision making",2017,"Environmental Modelling & Software","Elsevier","https://www.sciencedirect.com/science/article/pii/S1364815217301251","https://scholar.google.com/scholar?cites=10507804028821905855&as_sdt=2005&sciodt=0,5&hl=en",2,"2022-04-02 11:27:02","HTML","","","",,,,,136,27.20,136,1,5,"There is a growing interest in model-based decision support under deep uncertainty, reflected in a variety of approaches being put forward in the literature. A key idea shared …","https://www.sciencedirect.com/science/article/pii/S1364815217301251","https://scholar.google.com/scholar?q=related:vyFZaxc405EJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
130,"EE Koks, J Rozenberg, C Zorn, M Tariverdi…","A global multi-hazard risk analysis of road and railway infrastructure assets",2019,"Nature …","nature.com","https://www.nature.com/articles/s41467-019-10442-3","https://scholar.google.com/scholar?cites=6206618756081729836&as_sdt=2005&sciodt=0,5&hl=en",3,"2022-04-02 11:27:02","HTML","","","",,,,,130,43.33,26,5,3,"Transport infrastructure is exposed to natural hazards all around the world. Here we present the first global estimates of multi-hazard exposure and risk to road and rail infrastructure …","https://www.nature.com/articles/s41467-019-10442-3","https://scholar.google.com/scholar?q=related:LEGH5N9WIlYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
106,"RF Reis, B de Melo Quintela…","Characterization of the COVID-19 pandemic and the impact of uncertainties, mitigation strategies, and underreporting of cases in South Korea, Italy, and Brazil",2020,"Chaos, Solitons & …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0960077920302885","https://scholar.google.com/scholar?cites=10910077974624486179&as_sdt=2005&sciodt=0,5&hl=en",4,"2022-04-02 11:27:02","","","","",,,,,106,53.00,35,3,2,"Abstract By April 7th, 2020, the Coronavirus disease 2019 (COVID-19) has infected one and a half million people worldwide, accounting for over 80 thousand of deaths in 209 countries …","https://www.ncbi.nlm.nih.gov/pmc/articles/pmc7221372/","https://scholar.google.com/scholar?q=related:I0NOJR1iaJcJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
104,"CJ Smith, PM Forster, M Allen, J Fuglestvedt…","Current fossil fuel infrastructure does not yet commit us to 1.5 C warming",2019,"Nature …","nature.com","https://www.nature.com/articles/s41467-018-07999-w?source=post_page---------------------------","https://scholar.google.com/scholar?cites=10205881953877806745&as_sdt=2005&sciodt=0,5&hl=en",5,"2022-04-02 11:27:02","HTML","","","",,,,,104,34.67,21,5,3,"Committed warming describes how much future warming can be expected from historical emissions due to inertia in the climate system. It is usually defined in terms of the level of …","https://www.nature.com/articles/s41467-018-07999-w?source=post_page---------------------------","https://scholar.google.com/scholar?q=related:mc50YJCToo0J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
76,"S Razavi, A Jakeman, A Saltelli, C Prieur…","The future of sensitivity analysis: An essential discipline for systems modeling and policy support",2021,"… Modelling & Software","Elsevier","https://www.sciencedirect.com/science/article/pii/S1364815220310112","https://scholar.google.com/scholar?cites=8341657798852294746&as_sdt=2005&sciodt=0,5&hl=en",6,"2022-04-02 11:27:02","HTML","","","",,,,,76,76.00,15,5,1,"Sensitivity analysis (SA) is en route to becoming an integral part of mathematical modeling. The tremendous potential benefits of SA are, however, yet to be fully realized, both for …","https://www.sciencedirect.com/science/article/pii/S1364815220310112","https://scholar.google.com/scholar?q=related:Wjh1cpKFw3MJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
58,"S Eker, G Reese, M Obersteiner","Modelling the drivers of a widespread shift to sustainable diets",2019,"Nature Sustainability","nature.com","https://www.nature.com/articles/s41893-019-0331-1","https://scholar.google.com/scholar?cites=10118972530759463627&as_sdt=2005&sciodt=0,5&hl=en",7,"2022-04-02 11:27:02","","","","",,,,,58,19.33,19,3,3,"A reduction in global meat consumption can significantly reduce the adverse environmental effects of the food system, but it would require widespread dietary changes. Such shifts to …","http://pure.iiasa.ac.at/id/eprint/16000/1/PostPrint.pdf","https://scholar.google.com/scholar?q=related:y3Lac-fPbYwJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
57,"S Tennøe, G Halnes, GT Einevoll","Uncertainpy: a Python toolbox for uncertainty quantification and sensitivity analysis in computational neuroscience",2018,"Frontiers in neuroinformatics","frontiersin.org","https://www.frontiersin.org/articles/10.3389/fninf.2018.00049/full","https://scholar.google.com/scholar?cites=8232120937497828497&as_sdt=2005&sciodt=0,5&hl=en",8,"2022-04-02 11:27:02","HTML","","","",,,,,57,14.25,19,3,4,"Computational models in neuroscience typically contain many parameters that are poorly constrained by experimental data. Uncertainty quantification and sensitivity analysis provide …","https://www.frontiersin.org/articles/10.3389/fninf.2018.00049/full","https://scholar.google.com/scholar?q=related:kRydg2BePnIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
55,"Z Pang, Z O'Neill, Y Li, F Niu","The role of sensitivity analysis in the building performance analysis: A critical review",2020,"Energy and Buildings","Elsevier","https://www.sciencedirect.com/science/article/pii/S0378778819319164","https://scholar.google.com/scholar?cites=16938146883860067502&as_sdt=2005&sciodt=0,5&hl=en",9,"2022-04-02 11:27:02","","","","",,,,,55,27.50,14,4,2,"A building system is highly nonlinear and commonly includes a variety of parameters ranging from the architectural design to the building mechanical and energy system. Serving …","","https://scholar.google.com/scholar?q=related:rnTeRdliEOsJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
48,"F Baldi, S Moret, K Tammi, F Maréchal","The role of solid oxide fuel cells in future ship energy systems",2020,"Energy","Elsevier","https://www.sciencedirect.com/science/article/pii/S036054421932506X","https://scholar.google.com/scholar?cites=8597069507494060915&as_sdt=2005&sciodt=0,5&hl=en",10,"2022-04-02 11:27:02","","","","",,,,,48,24.00,12,4,2,"With rising concerns about emissions from shipping, fuel cells are expected to take an important role in ship propulsion. In particular, solid oxide fuel cells (SOFC) offer high …","https://www.researchgate.net/profile/Francesco-Baldi-4/publication/338446369_The_role_of_solid_oxide_fuel_cells_in_future_ship_energy_systems/links/5e2952ea299bf1521675c867/The-role-of-solid-oxide-fuel-cells-in-future-ship-energy-systems.pdf","https://scholar.google.com/scholar?q=related:c6OG9yrtTncJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
45,"M Jaxa-Rozen, JH Kwakkel","Pynetlogo: Linking netlogo with python",2018,"Jasss","archive-ouverte.unige.ch","https://archive-ouverte.unige.ch/unige:128841","https://scholar.google.com/scholar?cites=12866651611120652462&as_sdt=2005&sciodt=0,5&hl=en",11,"2022-04-02 11:27:02","","","","",,,,,45,11.25,23,2,4,"Methods for testing and analyzing agent-based models have drawn increasing attention in the literature, in the context of efforts to establish standard frameworks for the development …","https://archive-ouverte.unige.ch/unige:128841/ATTACHMENT01","https://scholar.google.com/scholar?q=related:rtCNSXiHj7IJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
42,"BC Trindade, PM Reed, GW Characklis","Deeply uncertain pathways: Integrated multi-city regional water supply infrastructure investment and portfolio management",2019,"Advances in Water Resources","Elsevier","https://www.sciencedirect.com/science/article/pii/S0309170819306475","https://scholar.google.com/scholar?cites=8520896630672862025&as_sdt=2005&sciodt=0,5&hl=en",12,"2022-04-02 11:27:02","","","","",,,,,42,14.00,14,3,3,"This study contributes the Deep Uncertainty (DU) Pathways framework for bridging long-term water supply infrastructure investments and improved short-term water portfolio …","https://www.sciencedirect.com/science/article/am/pii/S0309170819306475","https://scholar.google.com/scholar?q=related:SSsUB1dOQHYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
42,"JF Oliveira, DCP Jorge, RV Veiga…","Mathematical modeling of COVID-19 in 14.8 million individuals in Bahia, Brazil",2021,"Nature …","nature.com","https://www.nature.com/articles/s41467-020-19798-3","https://scholar.google.com/scholar?cites=1913155945423196912&as_sdt=2005&sciodt=0,5&hl=en",13,"2022-04-02 11:27:02","HTML","","","",,,,,42,42.00,11,4,1,"COVID-19 is affecting healthcare resources worldwide, with lower and middle-income countries being particularly disadvantaged to mitigate the challenges imposed by the …","https://www.nature.com/articles/s41467-020-19798-3","https://scholar.google.com/scholar?q=related:8FLgLjLljBoJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
